STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Historical Wards 2003-2015,Zip Codes,Community Areas,Census Tracts,Wards
30101,N,Foster (Linden-bound),Foster,Foster (Purple Line),40520,false,false,false,false,false,true,true,false,false,false,"(42.05416, -87.68356)",,26293,,,
30167,N,Francisco (Kimball-bound),Francisco,Francisco (Brown Line),40870,true,false,false,false,true,false,false,false,false,false,"(41.966046, -87.701644)",2,21849,14,258,20
30168,S,Francisco (Loop-bound),Francisco,Francisco (Brown Line),40870,true,false,false,false,true,false,false,false,false,false,"(41.966046, -87.701644)",2,21849,14,258,20
30234,S,Fullerton (95th-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,true,true,false,false,false,false,false,false,false,false,"(41.925051, -87.652866)",51,21190,68,744,34
30233,N,Fullerton (Howard-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,true,true,false,false,false,false,false,false,false,false,"(41.925051, -87.652866)",51,21190,68,744,34
30235,N,Fullerton (Kimball-Linden-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,true,false,false,false,true,false,true,false,false,false,"(41.925051, -87.652866)",51,21190,68,744,34
30236,S,Fullerton (Loop-bound),Fullerton,"Fullerton (Red, Brown & Purple Lines)",41220,true,false,false,false,true,false,true,false,false,false,"(41.925051, -87.652866)",51,21190,68,744,34
30100,S,Garfield (63rd-bound),Garfield,Garfield (Green Line),40510,true,false,false,true,false,false,false,false,false,false,"(41.795172, -87.618327)",12,21192,7,401,9
30099,N,Garfield (Harlem-bound),Garfield,Garfield (Green Line),40510,true,false,false,true,false,false,false,false,false,false,"(41.795172, -87.618327)",12,21192,7,401,9
30224,S,Garfield (95th-bound),Garfield,Garfield (Red Line),41170,true,true,false,false,false,false,false,false,false,false,"(41.79542, -87.631157)",12,14924,3,224,9
30223,N,Garfield (Howard-bound),Garfield,Garfield (Red Line),41170,true,true,false,false,false,false,false,false,false,false,"(41.79542, -87.631157)",12,14924,3,224,9
30096,S,Grand/Milwaukee (Forest Pk-bound),Grand,Grand (Blue Line),40490,false,false,true,false,false,false,false,false,false,false,"(41.891189, -87.647578)",41,4446,25,109,46
30095,N,Grand/Milwaukee (O'Hare-bound),Grand,Grand (Blue Line),40490,false,false,true,false,false,false,false,false,false,false,"(41.891189, -87.647578)",41,4446,25,109,46
30065,S,Grand/State (95th-bound),Grand,Grand (Red Line),40330,true,true,false,false,false,false,false,false,false,false,"(41.891665, -87.628021)",22,21182,37,626,36
30064,N,Grand/State (Howard-bound),Grand,Grand (Red Line),40330,true,true,false,false,false,false,false,false,false,false,"(41.891665, -87.628021)",22,21182,37,626,36
30148,S,Granville (95th-bound),Granville,Granville (Red Line),40760,true,true,false,false,false,false,false,false,false,false,"(41.993664, -87.659202)",40,4451,76,46,16
30147,N,Granville (Howard-bound),Granville,Granville (Red Line),40760,true,true,false,false,false,false,false,false,false,false,"(41.993664, -87.659202)",40,4451,76,46,16
30215,N,Halsted (Loop-bound),Halsted,Halsted (Orange Line),41130,true,false,false,false,false,false,false,false,false,true,"(41.84678, -87.648088)",26,14920,58,59,48
30216,S,Halsted (Midway-bound),Halsted,Halsted (Orange Line),41130,true,false,false,false,false,false,false,false,false,true,"(41.84678, -87.648088)",26,14920,58,59,48
30184,W,Halsted/63rd (Ashland-bound),Halsted,Halsted (Green Line),40940,true,false,false,true,false,false,false,false,false,false,"(41.778943, -87.644244)",53,21559,66,435,4
30183,E,Halsted/63rd (Harlem-bound),Halsted,Halsted (Green Line),40940,true,false,false,true,false,false,false,false,false,false,"(41.778943, -87.644244)",53,21559,66,435,4
30146,S,Harlem (O'Hare Branch) (Forest Pk-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750,true,false,true,false,false,false,false,false,false,false,"(41.98227, -87.8089)",34,4448,36,735,29
30145,N,Harlem (O'Hare Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - O'Hare Branch),40750,true,false,true,false,false,false,false,false,false,false,"(41.98227, -87.8089)",34,4448,36,735,29
30189,E,Harlem (Forest Pk Branch) (O'Hare-bound),Harlem,Harlem (Blue Line - Forest Park Branch),40980,false,false,true,false,false,false,false,false,false,false,"(41.87349, -87.806961)",,15606,,,
30190,W,Harlem (Forest Pk Branch) (Terminal arrival),Harlem,Harlem (Blue Line - Forest Park Branch),40980,false,false,true,false,false,false,false,false,false,false,"(41.87349, -87.806961)",,15606,,,
30004,W,Harlem (Terminal arrival),Harlem/Lake,Harlem/Lake (Green Line),40020,true,false,false,true,false,false,false,false,false,false,"(41.886848, -87.803176)",,26611,,,
30003,E,Harlem (63rd-bound),Harlem/Lake,Harlem/Lake (Green Line),40020,true,false,false,true,false,false,false,false,false,false,"(41.886848, -87.803176)",,26611,,,
30166,W,H.W. Library (Inner Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850,true,false,false,false,false,false,true,false,true,true,"(41.876862, -87.628196)",48,14913,38,92,10
30165,E,H.W. Library (Outer Loop),Harold Washington Library-State/Van Buren,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",40850,true,false,false,false,true,false,false,false,false,false,"(41.876862, -87.628196)",48,14913,38,92,10
30286,S,Harrison (95th-bound),Harrison,Harrison (Red Line),41490,false,true,false,false,false,false,false,false,false,false,"(41.874039, -87.627479)",48,14913,38,368,10
30285,N,Harrison (Howard-bound),Harrison,Harrison (Red Line),41490,false,true,false,false,false,false,false,false,false,false,"(41.874039, -87.627479)",48,14913,38,368,10
30176,S,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900,true,false,false,false,false,true,true,true,false,false,"(42.019063, -87.672892)",3,21853,10,489,5
30173,N,Howard (Terminal arrival),Howard,"Howard (Red, Purple & Yellow Lines)",40900,true,true,false,false,false,false,false,false,false,false,"(42.019063, -87.672892)",3,21853,10,489,5
30174,S,Howard (95th-Bound),Howard,"Howard (Red, Purple & Yellow Lines)",40900,true,true,false,false,false,false,false,false,false,false,"(42.019063, -87.672892)",3,21853,10,489,5
30175,N,"Howard (Linden, Skokie-bound)",Howard,"Howard (Red, Purple & Yellow Lines)",40900,true,false,false,false,false,true,true,true,false,false,"(42.019063, -87.672892)",3,21853,10,489,5
30158,W,Illinois Medical District (Forest Pk-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810,true,false,true,false,false,false,false,false,false,false,"(41.875706, -87.673932)",48,21184,29,90,46
30157,E,Illinois Medical District (O'Hare-bound),Illinois Medical District,Illinois Medical District (Blue Line),40810,true,false,true,false,false,false,false,false,false,false,"(41.875706, -87.673932)",48,21184,29,90,46
30059,S,Indiana (63rd-bound),Indiana,Indiana (Green Line),40300,true,false,false,true,false,false,false,false,false,false,"(41.821732, -87.621371)",12,4301,4,163,9
30058,N,Indiana (Harlem-bound),Indiana,Indiana (Green Line),40300,true,false,false,true,false,false,false,false,false,false,"(41.821732, -87.621371)",12,4301,4,163,9
30108,S,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,Irving Park (Blue Line),40550,false,false,true,false,false,false,false,false,false,false,"(41.952925, -87.729229)",28,22618,16,295,50
30107,N,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,Irving Park (Blue Line),40550,false,false,true,false,false,false,false,false,false,false,"(41.952925, -87.729229)",28,22618,16,295,50
30281,N,Irving Park (Kimball-bound),Irving Park,Irving Park (Brown Line),41460,true,false,false,false,true,false,false,false,false,false,"(41.954521, -87.674868)",13,21186,46,622,18
30282,S,Irving Park (Loop-bound),Irving Park,Irving Park (Brown Line),41460,true,false,false,false,true,false,false,false,false,false,"(41.954521, -87.674868)",13,21186,46,622,18
30015,S,Jackson/Dearborn (Forest Pk-bound),Jackson,Jackson (Blue Line),40070,true,false,true,false,false,false,false,false,false,false,"(41.878183, -87.629296)",22,14912,38,92,36
30014,N,Jackson/Dearborn (O'Hare-bound),Jackson,Jackson (Blue Line),40070,true,false,true,false,false,false,false,false,false,false,"(41.878183, -87.629296)",22,14912,38,92,36
30110,S,Jackson/State (95th-bound),Jackson,Jackson (Red Line),40560,true,true,false,false,false,false,false,false,false,false,"(41.878153, -87.627596)",48,14912,38,367,10
30109,N,Jackson/State (Howard-bound),Jackson,Jackson (Red Line),40560,true,true,false,false,false,false,false,false,false,false,"(41.878153, -87.627596)",48,14912,38,367,10
